单词名,忘记次数,记得次数,需要背这个单词,难度,已查看次数,评论,图片有用
smother,1,1,1,6.2700000000000005,2,,
awash,1,1,1,6.2700000000000005,2,,
fathom,1,1,1,6.2700000000000005,2,,
garble,1,1,1,6.2700000000000005,2,,
aspect,1,1,1,6.2700000000000005,2,,0.0
fabricate,1,1,1,6.2700000000000005,2,,
gild,1,1,1,6.2700000000000005,2,锦上添花？,
sulk,1,1,1,6.2700000000000005,2,,
personable,1,1,1,6.2700000000000005,2,,
ferocious,1,1,1,6.2700000000000005,2,,
lethal,1,1,1,6.2700000000000005,2,lethal 知名小刀。le小刀,
dyspeptic,1,1,1,6.2700000000000005,2,,
tantrum,1,1,1,6.2700000000000005,2,,
peremptory,1,1,1,6.2700000000000005,2,,
exasperate,1,1,1,6.2700000000000005,2,,
perceptible,1,1,1,6.2700000000000005,2,,
inception,1,1,1,6.2700000000000005,2,,
antic,1,1,1,6.2700000000000005,2,,
discreet,1,1,1,6.2700000000000005,2,,
ensconce,1,1,1,6.2700000000000005,2,,
bootless,1,2,1,6.2700000000000005,2,,
coalesce,1,1,1,6.2700000000000005,2,,
dwindle,1,1,1,6.2700000000000005,2,,
glide,1,1,1,6.2700000000000005,2,,
stoke,1,1,1,6.2700000000000005,2,,
corrugated,1,1,1,6.2700000000000005,2,,
august,1,2,1,6.2700000000000005,2,,
pilot,1,1,1,6.2700000000000005,2,,
symbiosis,1,1,1,6.2700000000000005,2,,
draconian,1,1,1,6.2700000000000005,2,,
kudos,1,1,1,6.2700000000000005,2,,
hallow,1,1,1,6.2700000000000005,2,,
predestine,1,1,1,6.2700000000000005,2,,
tyrant,3,1,1,6.2700000000000005,2,,
ludicrous,1,1,1,6.2700000000000005,2,,
placid,1,1,1,6.2700000000000005,2,placebo 安慰剂,
forsake,1,1,1,6.2700000000000005,2,彻彻底底的放弃 完全放弃,
agog,1,3,1,6.2700000000000005,2,gog目瞪口呆，极度吸引人，感兴趣,
turbid,1,1,1,6.2700000000000005,2,,
sanctimonious,1,1,1,6.2700000000000005,2,,
feign,1,1,1,6.2700000000000005,2,,
fateful,1,1,1,6.2700000000000005,2,,
disavow,1,1,1,6.2700000000000005,2,,
champion,1,1,1,6.2700000000000005,2,,
finicky,1,1,1,6.2700000000000005,2,,
stature,1,1,1,6.2700000000000005,2,,
veteran,1,1,1,6.2700000000000005,2,,
lumber,1,1,1,6.2700000000000005,2,,
metaphysical,1,1,1,6.2700000000000005,2,,
boggle,1,1,1,6.2700000000000005,2,,
shoal,1,1,1,6.2700000000000005,2,,
tame,1,1,1,6.2700000000000005,2,,
doff,1,1,1,6.2700000000000005,2,,
quandary,1,1,1,6.2700000000000005,2,,
sanction,1,1,1,6.2700000000000005,2,,
incursion,1,1,1,6.2700000000000005,2,,
typo,1,1,1,6.2700000000000005,2,,
vestige,1,1,1,6.2700000000000005,2,,
embroider,1,1,1,6.2700000000000005,2,,
plentitude,1,1,1,6.2700000000000005,2,,
quench,1,1,1,6.2700000000000005,2,,0.0
deposit,1,2,1,6.2700000000000005,2,,
peep,1,1,1,6.2700000000000005,2,,
mimic,1,1,1,6.2700000000000005,2,,
taciturn,1,1,1,6.2700000000000005,2,,
curmudgeon,1,1,1,6.2700000000000005,2,,
ennui,1,1,1,6.2700000000000005,2,,
limber,1,1,1,6.2700000000000005,2,,
effervesce,1,1,1,6.2700000000000005,2,,
gourmet,1,1,1,6.2700000000000005,2,,
preface,1,1,1,6.2700000000000005,2,,
petty,1,1,1,6.2700000000000005,2,,0.0
imperishable,4,2,1,6.2700000000000005,2,im反，perish摧毁,
revive,1,1,1,6.2700000000000005,2,,
dogged,1,1,1,6.2700000000000005,2,,
xenophobe,1,1,1,6.2700000000000005,2,,
intangible,1,2,1,6.2700000000000005,2,,
wrangle,1,1,1,6.2700000000000005,2,扭打成一团,
denude,1,1,1,6.2700000000000005,2,,
heresy,1,1,1,6.2700000000000005,2,,
decadence,1,1,1,6.2700000000000005,2,,
wry,1,1,1,6.2700000000000005,2,,0.0
censor,1,1,1,6.2700000000000005,2,,
embrace,1,1,1,6.2700000000000005,2,,
blase,1,1,1,6.2700000000000005,2,,
chaff,1,1,1,6.2700000000000005,2,,
nocturnal,1,1,1,6.2700000000000005,2,,
tangent,1,1,1,6.2700000000000005,2,,
cunning,1,1,1,6.2700000000000005,2,,
impervious,1,1,1,6.2700000000000005,2,,
speck,1,1,1,6.2700000000000005,2,,0.0
contradict,1,1,1,6.2700000000000005,2,,
supine,2,2,1,6.2700000000000005,2,,
replicate,1,1,1,6.2700000000000005,2,,
interim,1,1,1,6.2700000000000005,2,,
idyll,1,1,1,6.2700000000000005,2,,
drudgery,1,1,1,6.2700000000000005,2,,
scrappy,1,1,1,6.2700000000000005,2,,
gargantuan,1,1,1,6.2700000000000005,2,山海经团兽,
half-baked,1,1,1,6.2700000000000005,2,烹饪到一半就放弃，是不明智的。不是一个好的选择,
crutch,1,1,1,6.2700000000000005,2,,
dawdle,1,1,1,6.2700000000000005,2,,
perish,1,1,1,6.2700000000000005,2,,
epicure,1,1,1,6.2700000000000005,2,,
painstaking,1,1,1,6.2700000000000005,2,,
windy,1,1,1,6.2700000000000005,2,,
merited,1,1,1,6.2700000000000005,2,,
chary,1,1,1,6.2700000000000005,2,,0.0
trifle,1,1,1,6.2700000000000005,2,,
obviate,1,1,1,6.2700000000000005,2,,
pedagogical,1,3,1,6.2700000000000005,2,gog目瞪口呆，极度吸引人，感兴趣,
wax,1,1,1,6.2700000000000005,2,,
bruit,1,1,1,6.2700000000000005,2,,
obscure,1,1,1,6.2700000000000005,2,,
rash,1,1,1,6.2700000000000005,2,,0.0
mastery,1,1,1,6.2700000000000005,2,,
ecstasy,1,1,1,6.2700000000000005,2,迷幻药,
engross,1,1,1,6.2700000000000005,2,,
understate,1,1,1,6.2700000000000005,2,,
fallacious,1,1,1,6.2700000000000005,2,,
dirge,1,1,1,6.2700000000000005,2,,
insular,1,1,1,6.2700000000000005,2,,
mediocre,1,1,1,6.2700000000000005,2,,
cronyism,1,1,1,6.2700000000000005,2,,
prosecution,1,1,1,6.2700000000000005,2,,
discursive,1,1,1,6.2700000000000005,2,,
boor,1,2,1,6.2700000000000005,2,,
bash,1,1,1,6.2700000000000005,2,,
tasty,1,1,1,6.2700000000000005,2,,
septic,1,1,1,6.2700000000000005,2,,
loll,1,1,1,6.2700000000000005,2,,
cursory,1,1,1,6.2700000000000005,2,,0.0
drawl,1,1,1,6.2700000000000005,2,,0.0
errant,1,2,1,6.2700000000000005,2,,
dismay,1,1,1,6.2700000000000005,2,,
gangly,1,1,1,6.2700000000000005,2,像杆子一样瘦,
ascetic,1,1,1,6.2700000000000005,2,,
pulchritude,1,1,1,6.2700000000000005,2,,
conscientious,1,1,1,6.2700000000000005,2,,
apt,1,1,1,6.2700000000000005,2,,
choleric,1,1,1,6.2700000000000005,2,,
taper,1,1,1,6.2700000000000005,2,,
guzzle,1,1,1,6.2700000000000005,2,,
rite,1,1,1,6.2700000000000005,2,,
condign,1,1,1,6.2700000000000005,2,,0.0
glossy,3,1,1,6.2700000000000005,2,,
deluge,2,2,1,6.2700000000000005,2,,
simpleton,1,1,1,6.2700000000000005,2,,
substantive,1,1,1,6.2700000000000005,2,,
carve,2,1,1,6.2700000000000005,4,,
efface,1,1,1,6.2700000000000005,2,,
solemnity,1,1,1,6.2700000000000005,2,,
figment,1,1,1,6.2700000000000005,2,,
mint,1,1,1,6.2700000000000005,2,大量的薄荷,
bombast,1,1,1,6.2700000000000005,2,,
impotent,1,1,1,6.2700000000000005,2,,
dissension,1,1,1,6.2700000000000005,2,,
transitory,1,1,1,6.2700000000000005,2,,
ramshackle,2,1,1,6.2700000000000005,2,,
fumble,1,1,1,6.2700000000000005,2,,0.0
gauche,1,1,1,6.2700000000000005,2,,0.0
deleterious,1,1,1,6.2700000000000005,2,,
evanescent,1,1,1,6.2700000000000005,2,,
interrogate,1,1,1,6.2700000000000005,2,,
cow,1,1,1,6.2700000000000005,2,,
modicum,1,1,1,6.2700000000000005,2,,
provisional,1,1,1,6.2700000000000005,2,,
extemporize,2,1,1,6.2700000000000005,2,,
blunder,1,1,1,6.2700000000000005,2,,
inalienable,1,1,1,6.2700000000000005,2,,
nitpick,1,1,1,6.2700000000000005,2,nit跳蚤，pick挑剔,
indoctrinate,1,1,1,6.2700000000000005,2,,
collude,1,1,1,6.2700000000000005,2,,
abash,2,2,1,6.2700000000000005,2,,
dank,1,1,1,6.2700000000000005,2,,
bliss,1,1,1,6.2700000000000005,2,,
auspicious,1,1,1,6.2700000000000005,2,,
replete,1,1,1,6.2700000000000005,2,,
slew,1,1,1,6.2700000000000005,2,,
indurate,1,1,1,6.2700000000000005,2,,
coop,1,1,1,6.2700000000000005,2,,0.0
avowal,1,1,1,6.2700000000000005,2,,
immure,1,1,1,6.2700000000000005,2,,
hurricane,1,1,1,6.2700000000000005,2,,
vessel,1,1,1,6.2700000000000005,2,,
discrete,1,1,1,6.2700000000000005,2,,
misrepresent,1,1,1,6.2700000000000005,2,,
cavort,1,1,1,6.2700000000000005,2,,
phlegmatic,1,1,1,6.2700000000000005,2,ph心灵 leg手臂，但也有反的意思 matic 情感的,
repine,3,2,1,6.2700000000000005,2,,
pragmatic,1,1,1,6.2700000000000005,2,,
brandish,1,1,1,6.2700000000000005,2,,
affliction,1,1,1,6.2700000000000005,2,,
mollycoddle,1,1,1,6.2700000000000005,2,,
supercilious,1,1,1,6.2700000000000005,2,,
rapt,1,1,1,6.2700000000000005,2,,
nicety,1,1,1,6.2700000000000005,2,,
commotion,1,1,1,6.2700000000000005,2,,
protuberant,3,2,1,6.2700000000000005,2,protuberant eyes 暴鱼眼,
rustic,1,1,1,6.2700000000000005,2,,
extol,1,1,1,6.2700000000000005,2,,
enfranchise,1,1,1,6.2700000000000005,2,,
hoard,1,1,1,6.2700000000000005,2,,
dolt,1,1,1,6.2700000000000005,2,,
crook,1,1,1,6.2700000000000005,2,,
shadow,1,1,1,6.2700000000000005,2,,
naysay,1,1,1,6.2700000000000005,2,,
zealot,1,2,1,6.2700000000000005,2,,
waddle,1,1,1,6.2700000000000005,2,,
anecdote,1,1,1,6.2700000000000005,2,,
startle,1,1,1,6.2700000000000005,2,,
instate,1,1,1,6.2700000000000005,2,,
husky,1,1,1,6.2700000000000005,2,,
commodious,1,1,1,6.2700000000000005,2,,
doodle,1,1,1,6.2700000000000005,2,,
gash,1,1,1,6.2700000000000005,2,,0.0
doldrums,1,1,1,6.2700000000000005,2,"低气压带
",
lash,1,1,1,6.2700000000000005,2,,
distract,1,1,1,6.2700000000000005,2,,
consternation,1,1,1,6.2700000000000005,2,,
nibble,1,1,1,6.2700000000000005,2,,
trifling,1,1,1,6.2700000000000005,2,,
correlate,3,1,1,6.2700000000000005,2,,
boo,1,1,1,6.2700000000000005,2,,
flaccid,1,1,1,6.2700000000000005,2,,
timely,1,1,1,6.2700000000000005,2,,
undermine,1,1,1,6.2700000000000005,2,,
slant,1,1,1,6.2700000000000005,2,,
voracious,1,1,1,6.2700000000000005,2,,
belligerent,1,1,1,6.2700000000000005,2,,
staunch,1,1,1,6.2700000000000005,2,,0.0
paradox,1,1,1,6.2700000000000005,2,,
galvanize,1,1,1,6.2700000000000005,2,,
macabre,1,1,1,6.2700000000000005,2,,
jarring,1,1,1,6.2700000000000005,2,,
valiant,1,1,1,6.2700000000000005,2,,
banter,1,1,1,6.2700000000000005,2,,
hammer,1,1,1,6.2700000000000005,2,敲重点,
indelible,1,1,1,6.2700000000000005,2,,
extravagant,1,1,1,6.2700000000000005,2,,
intrepid,1,1,1,6.2700000000000005,2,intre进入 pid禁区  -》无畏,
quarantine,5,2,1,6.2700000000000005,2,,
earnest,1,1,1,6.2700000000000005,2,,
resourceful,1,1,1,6.2700000000000005,2,,
gaffe,1,1,1,6.2700000000000005,2,,
baffling,1,1,1,6.2700000000000005,2,,
propriety,1,1,1,6.2700000000000005,2,,
perimeter,1,1,1,6.2700000000000005,2,,
sporadic,1,1,1,6.2700000000000005,2,,
lax,1,1,1,6.2700000000000005,2,,
goad,1,1,1,6.2700000000000005,2,,
depravity,1,1,1,6.2700000000000005,2,,
adapt,1,1,1,6.2700000000000005,2,,
remodel,1,1,1,6.2700000000000005,2,,
worship,1,1,1,6.2700000000000005,2,,
extricate,1,1,1,6.2700000000000005,2,,
pointer,1,2,1,6.2700000000000005,2,,
grin,1,1,1,6.2700000000000005,2,,
probity,1,1,1,6.2700000000000005,2,,
suture,1,1,1,6.2700000000000005,2,,
vouch,1,1,1,6.2700000000000005,2,,
natty,1,1,1,6.2700000000000005,2,,
prohibitive,1,1,1,6.2700000000000005,2,,
lurch,1,1,1,6.2700000000000005,2,,0.0
refulgent,1,1,1,6.2700000000000005,2,,
egalitarian,1,1,1,6.2700000000000005,2,,
enamored,1,1,1,6.2700000000000005,2,,
dilate,1,1,1,6.2700000000000005,2,,
antedate,1,1,1,6.2700000000000005,2,,
censorious,2,1,1,6.2700000000000005,2,,
colossal,1,1,1,6.2700000000000005,2,,
prolong,1,1,1,6.2700000000000005,2,,
illuminati,1,1,1,6.2700000000000005,2,,
elate,1,1,1,6.2700000000000005,2,,
preponderant,2,1,1,6.2700000000000005,2,,
grudge,1,1,1,6.2700000000000005,2,,0.0
heretical,1,1,1,6.2700000000000005,2,,
jocular,1,1,1,6.2700000000000005,2,,
epigram,1,1,1,6.2700000000000005,2,,
scrap,1,1,1,6.2700000000000005,2,,
lachrymose,1,1,1,6.2700000000000005,2,,
intelligible,1,1,1,6.2700000000000005,2,,
synthesis,1,1,1,6.2700000000000005,2,,
migratory,1,1,1,6.2700000000000005,2,,
exuberant,1,2,1,6.2700000000000005,2,,
lank,1,1,1,6.2700000000000005,2,,
fluky,1,1,1,6.2700000000000005,2,,
ceremonious,1,1,1,6.2700000000000005,2,,
captious,1,1,1,6.2700000000000005,2,,
posit,1,1,1,6.2700000000000005,2,,
contagious,1,1,1,6.2700000000000005,2,,
retinue,1,1,1,6.2700000000000005,2,,
virtuoso,1,1,1,6.2700000000000005,2,,
dexterous,1,1,1,6.2700000000000005,2,,
garment,1,1,1,6.2700000000000005,2,,
hanker,1,1,1,6.2700000000000005,2,hanker，hanger饥饿向往,0.0
temporize,1,1,1,6.2700000000000005,2,,
emigrate,1,2,1,6.2700000000000005,2,,0.0
verse,1,1,1,6.2700000000000005,2,,
seamy,1,1,1,6.2700000000000005,2,,
splutter,5,2,1,6.2700000000000005,2,,
inert,1,1,1,6.2700000000000005,2,,
exotic,1,1,1,6.2700000000000005,2,,
ruminate,1,1,1,6.2700000000000005,2,ru儒，思考的,
jocund,1,1,1,6.2700000000000005,2,,
approbation,1,1,1,6.2700000000000005,2,,
sybarite,1,1,1,6.2700000000000005,2,,
incarnate,1,1,1,6.2700000000000005,2,,
atone,1,1,1,6.2700000000000005,2,,
sly,1,1,1,6.2700000000000005,2,,
gawky,1,1,1,6.2700000000000005,2,,0.0
rouse,1,1,1,6.2700000000000005,2,,0.0
stickler,1,1,1,6.2700000000000005,2,,
terminus,1,1,1,6.2700000000000005,2,,
histrionic,1,1,1,6.2700000000000005,2,,
tortuous,1,1,1,6.2700000000000005,2,,
assent,1,1,1,6.2700000000000005,2,,
notch,1,1,1,6.2700000000000005,2,,
harsh,1,1,1,6.2700000000000005,2,,
tumult,1,1,1,6.2700000000000005,2,,
numb,1,1,1,6.2700000000000005,2,,
diehard,1,1,1,6.2700000000000005,2,,
disarm,1,1,1,6.2700000000000005,2,,
noisome,1,1,1,6.2700000000000005,2,,
vulnerable,1,1,1,6.2700000000000005,2,,
scintillate,1,1,1,6.2700000000000005,2,scinti 星体，llate亮的,
trickle,1,1,1,6.2700000000000005,2,,
madcap,1,1,1,6.2700000000000005,2,,
venerate,1,1,1,6.2700000000000005,2,,
morose,2,1,1,6.2700000000000005,4,,
overshadow,2,2,1,6.2700000000000005,2,,
eleemosynary,1,1,1,6.2700000000000005,2,慈善表演,
deflect,1,1,1,6.2700000000000005,2,,
discretion,1,1,1,6.2700000000000005,2,,
diligent,1,1,1,6.2700000000000005,2,,
vindicate,1,1,1,6.2700000000000005,2,,
blight,1,1,1,6.2700000000000005,2,,
thrill,1,1,1,6.2700000000000005,2,,
mottle,1,1,1,6.2700000000000005,2,,
venom,1,1,1,6.2700000000000005,2,,
avarice,1,1,1,6.2700000000000005,2,,
adventitious,1,1,1,6.2700000000000005,2,,
nexus,1,1,1,6.2700000000000005,2,,0.0
conciliate,1,1,1,6.2700000000000005,2,,
antiquated,1,1,1,6.2700000000000005,2,,
abuse,1,1,1,6.2700000000000005,2,,
treacherous,1,1,1,6.2700000000000005,2,,
surmise,1,1,1,6.2700000000000005,2,猜猜看,
zenith,1,1,1,6.2700000000000005,2,,
creep,1,1,1,6.2700000000000005,2,,0.0
repeal,1,1,1,6.2700000000000005,2,,
aspirant,1,2,1,6.2700000000000005,2,,
gainsay,1,1,1,6.2700000000000005,2,,
amity,1,1,1,6.2700000000000005,2,,
dehydrate,1,1,1,6.2700000000000005,2,,
manipulate,1,2,1,6.2700000000000005,2,,
analgesic,1,1,1,6.2700000000000005,2,,
gust,1,1,1,6.2700000000000005,2,,
reckless,1,1,1,6.2700000000000005,2,,
aseptic,3,2,1,6.2700000000000005,2,,
calamity,2,1,1,6.2700000000000005,2,,
tangle,1,1,1,6.2700000000000005,2,,
nostalgia,1,1,1,6.2700000000000005,2,,
corrosive,1,1,1,6.2700000000000005,2,,
barb,1,1,1,6.2700000000000005,2,,
minuscule,1,1,1,6.2700000000000005,2,,
monotonous,1,1,1,6.2700000000000005,2,,
obtuse,1,1,1,6.2700000000000005,2,,
procure,1,1,1,6.2700000000000005,2,,
fortify,1,1,1,6.2700000000000005,2,,
dapper,1,1,1,6.2700000000000005,2,,
accrete,1,1,1,6.2700000000000005,2,,
elaborate,1,1,1,6.2700000000000005,2,,
liability,1,1,1,6.2700000000000005,2,,
bristle,1,1,1,6.2700000000000005,2,,
thick-skinned,1,1,1,6.2700000000000005,2,,
susceptibility,1,1,1,6.2700000000000005,2,,
downplay,1,1,1,6.2700000000000005,2,,
caricature,1,1,1,6.2700000000000005,2,,
gauge,1,1,1,6.2700000000000005,2,,
scion,1,1,1,6.2700000000000005,2,,
pucker,1,1,1,6.2700000000000005,2,,
badger,1,1,1,6.2700000000000005,2,,
goldbrick,1,1,1,6.2700000000000005,2,,
discombobulate,1,1,1,6.2700000000000005,2,,
benign,1,1,1,6.2700000000000005,2,,0.0
imperious,1,1,1,6.2700000000000005,2,,
warmonger,1,1,1,6.2700000000000005,2,,
zeal,1,1,1,6.2700000000000005,2,,
budge,1,1,1,6.2700000000000005,2,,
enervate,1,1,1,6.2700000000000005,2,,
vitality,1,1,1,6.2700000000000005,2,,
carouse,2,2,1,6.2700000000000005,2,,0.0
alacrity,1,1,1,6.2700000000000005,2,,
assuage,1,1,1,6.2700000000000005,2,,
committed,1,1,1,6.2700000000000005,2,,
browbeat,1,1,1,6.2700000000000005,2,,
quarry,1,1,1,6.2700000000000005,2,,
archetype,1,1,1,6.2700000000000005,2,,
illustrious,1,1,1,6.2700000000000005,2,,
ebullient,1,1,1,6.2700000000000005,2,,
brisk,1,1,1,6.2700000000000005,2,,0.0
tentative,1,1,1,6.2700000000000005,2,,
effulgent,1,1,1,6.2700000000000005,2,,
impromptu,1,1,1,6.2700000000000005,2,,
discretionary,1,1,1,6.2700000000000005,2,,
cleave,1,1,1,6.2700000000000005,2,,
infatuate,1,1,1,6.2700000000000005,2,,
stingy,1,1,1,6.2700000000000005,2,,
pedagogue,2,4,1,6.2700000000000005,2,gog目瞪口呆，极度吸引人，感兴趣,
contrite,2,2,1,6.2700000000000005,2,,
efficacious,1,1,1,6.2700000000000005,2,,
untoward,1,1,1,6.2700000000000005,2,toward面对， untoward不想面对的，不想接受的，因为是倒霉的，不吉利的,0.0
peck,1,1,1,6.2700000000000005,2,,0.0
dappled,1,1,1,6.2700000000000005,2,,
abjure,1,1,1,6.2700000000000005,2,,
opaque,1,1,1,6.2700000000000005,2,,
demotion,1,1,1,6.2700000000000005,2,,
pilfer,1,1,1,6.2700000000000005,2,,
opine,3,2,1,6.2700000000000005,2,,
virulent,1,1,1,6.2700000000000005,2,,
pique,1,1,1,6.2700000000000005,2,,
confront,1,1,1,6.2700000000000005,2,,
disciple,1,1,1,6.2700000000000005,2,,
denigrate,1,2,1,6.2700000000000005,2,,0.0
hymn,1,1,1,6.2700000000000005,2,,
commensurate,1,1,1,6.2700000000000005,2,,
gratify,9,3,1,6.266726007256644,11,,
stratify,7,2,1,6.266726007256644,11,,
ratify,7,2,1,6.266726007256644,11,,
stolid,7,2,1,6.2600781926114575,9,,
charade,7,2,1,6.2600781926114575,9,,0.0
palter,7,2,1,6.2600781926114575,9,pal泡沫，ter人,0.0
nonplus,7,2,1,6.2600781926114575,9,,
paean,7,2,1,6.2600781926114575,9,,
friable,7,2,1,6.2600781926114575,9,,
stygian,7,2,1,6.2600781926114575,9,,
primp,7,2,1,6.2600781926114575,9,"pp,粉扑，pp拍打，仔细打扮",
gloat,7,2,1,6.2600781926114575,9,,
inveigle,7,2,1,6.2600781926114575,9,,
paradigm,7,2,1,6.2600781926114575,9,,0.0
obliterate,7,2,1,6.2600781926114575,9,,
hypnotic,7,2,1,6.2600781926114575,9,"hypnotic背单词其实很催眠
睡前学英语 也很催眠",
minatory,7,2,1,6.2600781926114575,9,,
scuff,7,2,1,6.2600781926114575,9,,
savory,4,2,1,6.257691125,6,,
yoke,4,2,1,6.257691125,6,,
yokel,4,3,1,6.257691125,6,,
impugn,4,2,1,6.257691125,6,,
gobble,6,1,1,6.255800763750001,8,,
replenish,6,1,1,6.255800763750001,8,,
doyen,6,2,1,6.25048635375,8,,
mundane,4,2,1,6.22167,4,,
incogitant,11,1,1,6.218277098032549,13,cogitnat混血儿，周全的,0.0
sermon,13,2,1,6.216832724345462,17,,
shipshape,3,1,1,6.2125155,5,,
remunerate,3,1,1,6.2125155,5,,
potable,3,1,1,6.2125155,5,,
epithet,3,1,1,6.2125155,5,,
stray,3,1,1,6.2125155,5,,
redoubtable,3,1,1,6.2125155,5,,0.0
outlandish,3,1,1,6.2125155,5,,0.0
inferno,3,1,1,6.2125155,5,,
ameliorate,3,1,1,6.2125155,5,a meili美丽，orate使得,0.0
vignette,3,1,1,6.2125155,5,,
plump,3,1,1,6.2125155,5,,
ominous,3,1,1,6.2125155,5,,
pulverize,3,1,1,6.2125155,5,,
satire,3,1,1,6.2125155,5,,
satirize,3,1,1,6.2125155,5,,
permeable,3,1,1,6.2125155,5,,
dissuade,3,1,1,6.2125155,5,,
scorch,3,1,1,6.2125155,5,torch火炬,
persiflage,13,5,1,6.2077258133031235,17,,0.0
extant,1,2,1,6.2,3,,
bale,1,1,1,6.2,3,,
frivolous,1,2,1,6.2,3,,
scathing,1,1,1,6.2,3,,
symmetry,1,1,1,6.2,3,,
antediluvian,1,1,1,6.2,3,,
asymmetry,1,2,1,6.2,3,,
baleful,1,1,1,6.2,3,,
wily,8,2,1,6.19744563130933,12,,0.0
scrimp,6,2,1,6.194211287850001,8,,
spat,6,2,1,6.194211287850001,8,,0.0
prophetic,6,2,1,6.194211287850001,8,,
tenuous,6,2,1,6.194211287850001,8,,0.0
prevaricate,6,2,1,6.194211287850001,8,vari多变 cate说,
restive,6,2,1,6.194211287850001,8,,0.0
paroxysm,6,2,1,6.194211287850001,8,,
squabble,6,2,1,6.194211287850001,8,,
agape,6,2,1,6.194211287850001,8,期望中的生活,0.0
bumble,6,2,1,6.194211287850001,8,,0.0
incendiary,6,2,1,6.194211287850001,8,,
spate,10,3,1,6.194211287850001,8,,0.0
tangy,6,2,1,6.194211287850001,8,,0.0
dispatch,8,3,1,6.194211287850001,8,,0.0
snare,6,2,1,6.194211287850001,8,,0.0
abscond,6,2,1,6.194211287850001,8,,
slake,6,2,1,6.194211287850001,8,,
perquisite,6,2,1,6.194211287850001,8,ive the movers a perquisite if they do a good job,0.0
resilience,6,2,1,6.194211287850001,8,,
roil,6,2,1,6.194211287850001,8,,
prowl,6,2,1,6.194211287850001,8,,0.0
portentous,6,2,1,6.194211287850001,8,,0.0
obloquy,6,2,1,6.194211287850001,8,,0.0
rapport,6,2,1,6.194211287850001,8,,
pariah,5,1,1,6.18723448125,7,,
desecrate,5,1,1,6.18723448125,7,,
retrospective,4,2,1,6.183697625,6,,
talisman,4,2,1,6.183697625,6,,
measly,4,2,1,6.183697625,6,,
bluster,4,2,1,6.183697625,6,,
rift,8,2,1,6.177196724703119,12,ri锐，ft分开,0.0
snobbish,5,2,1,6.1722783025000005,6,snob鼻子，势力的 bish鄙视,
scruple,5,2,1,6.152303373964284,7,,0.0
licentious,7,2,1,6.147597911718751,8,,
quail,3,1,1,6.143260500000001,5,瑟瑟发抖,
impenetrable,5,3,1,6.132467970125001,9,,
impenitent,7,4,1,6.132467970125001,9,,
indispensable,6,3,1,6.132467970125001,9,,
dependable,5,3,1,6.132467970125001,9,,
ripen,7,3,1,6.132467970125001,9,,
spendthrift,15,5,1,6.132467970125001,9,ri锐，ft分开,0.0
impending,7,3,1,6.132467970125001,9,,0.0
pen,5,2,1,6.132467970125001,9,,
pensive,6,3,1,6.132467970125001,9,,
penalty,5,4,1,6.132467970125001,9,,
dampen,5,3,1,6.132467970125001,9,,
penitent,6,3,1,6.132467970125001,9,,
penury,6,3,1,6.132467970125001,9,,
suspend,5,4,1,6.132467970125001,9,,
disaffected,4,1,1,6.128329494642857,7," gangs of disaffected teenagers 一群叛逆的年轻人
The soldiers were disaffected toward the government. 那些士兵对政府不满.",
mingle,2,1,1,6.1214999999999975,4,,
adumbrate,3,1,1,6.1214999999999975,6,,
occult,2,1,1,6.1214999999999975,4,,
commingle,3,2,1,6.1214999999999975,4,,
resuscitate,5,2,1,6.119918442857142,7,,
pedant,5,2,1,6.119918442857142,7,,
moratorium,5,2,1,6.119918442857142,7,,
peruse,13,4,1,6.110123311962481,14,,0.0
beige,5,2,1,6.109416156428572,7,,
meticulous,5,2,1,6.109416156428572,7,,
inept,5,2,1,6.109416156428572,7,,
pastiche,15,2,1,6.108433227252724,17,pas ti che pas被动，ti主动，che嘲讽,
havoc,6,1,1,6.106365076741072,8,ha大，voc混乱,0.0
judicious,4,1,1,6.1007581250000005,6,,
decant,4,1,1,6.1007581250000005,6,,
mishap,4,1,1,6.1007581250000005,6,,
provincial,4,2,1,6.071949150000001,5,,
ravish,13,2,1,6.070323760367298,15,,0.0
inure,4,1,1,6.0697100839285705,7,,0.0
malleable,13,2,1,6.0608037491856495,15,,0.0
delirium,4,2,1,6.047901125,6,,
truculent,12,2,1,6.047100460837848,14,,
moribund,12,2,1,6.047100460837848,14,banking industry was moribund,0.0
outset,2,1,1,6.0420000000000025,5,,
stouthearted,7,3,1,6.037563042989464,10,,
tout,6,2,1,6.037563042989464,10,,
apostasy,11,2,1,6.020229781997437,13,,
felony,4,2,1,6.0176375,6,,
orthodox,4,2,1,6.0176375,6,,
admonish,4,2,1,6.0176375,6,,
saccharine,4,1,1,6.013649925,6,,
travesty,0,0,1,6.0136499249999975,6,,
ravenous,4,1,1,6.0136499249999975,6,,
craven,0,0,1,6.0136499249999975,6,,
rave,0,0,1,6.0136499249999975,6,,
crave,0,0,1,6.0136499249999975,6,,
contravene,1,0,1,6.0136499249999975,6,,
ravel,1,0,1,6.0136499249999975,6,,
peroration,17,5,1,6.011435625341441,20,"rational 理性的供应
rational 理性的供应，按理性分配
（演讲的）结束语
（演讲的）结束语",
cachet,7,3,1,6.004665501562501,8,声望可以当钱用cash cachet,0.0
circumscribe,0,1,1,6.0,0,,
resolute,4,2,1,5.995311875000001,6,re不，solute溶解，不溶解，鉴定不易,0.0
